"country_name","continent_name","wage_span","median_salary","average_salary","lowest_salary","highest_salary","OOSR_Upper_Secondary_Age_Female","OOSR_Upper_Secondary_Age_Male","Completion_Rate_Upper_Secondary_Male","Completion_Rate_Upper_Secondary_Female","Gross_Tertiary_Education_Enrollment","Unemployment_Rate","IS_above_average","Income_gap"
"Afghanistan","Asia","Monthly",853.74,1001.15,252.53,4460.97,69,44,32,14,9.7,11.12,FALSE,4208.44
"Albania","Europe","Monthly",832.84,956.92,241.22,4258.49,15,21,76,80,55,12.33,FALSE,4017.27
"Algeria","Africa","Monthly",1148.84,1308.81,330.11,5824.18,0,0,22,37,51.4,11.7,FALSE,5494.07
"Andorra","Europe","Monthly",3668.08,4069.77,1120.51,17653.28,0,0,0,0,0,0,TRUE,16532.77
"Angola","Africa","Monthly",284.39,314.39,79.32,1403.96,0,0,24,15,9.3,6.89,FALSE,1324.64
"Antigua and Barbuda","Caribbean","Monthly",1548.15,1677.78,422.22,7444.44,12,14,0,0,24.8,0,FALSE,7022.22
"Argentina","South America","Monthly",110.28,129.42,32.57,577.13,7,15,46,53,90,9.79,FALSE,544.56
"Armenia","Asia","Monthly",1700.25,1974.32,497.39,8780.39,4,16,69,79,54.6,16.99,TRUE,8283
"Australia","Oceania","Monthly",4306.45,4903.23,1236.13,21774.19,6,10,0,0,113.1,5.27,TRUE,20538.06
"Austria","Europe","Monthly",3572.94,4016.91,1014.8,17864.69,9,10,0,0,85.1,4.67,TRUE,16849.89
"Azerbaijan","Asia","Monthly",1558.82,1741.18,441.18,7764.71,0,0,0,0,27.7,5.51,FALSE,7323.53
"Bahrain","Asia","Monthly",3617.02,3936.17,984.04,17553.19,6,18,0,0,50.5,0.71,TRUE,16569.15
"Bangladesh","Asia","Monthly",218.57,236.71,59.68,1052.06,36,41,32,27,20.6,4.19,FALSE,992.38
"Barbados","Caribbean","Monthly",1395,1635,410,7250,3,7,91,97,65.4,10.33,FALSE,6840
"Belarus","Europe","Monthly",849.5,983.28,247.49,4381.27,4,6,91,94,87.4,4.59,FALSE,4133.78
"Belgium","Europe","Monthly",5729.39,6522.2,1997.89,27378.44,2,1,0,0,79.7,5.59,TRUE,25380.55
"Belize","Central America","Monthly",1730,1965,495,8750,35,38,48,51,24.7,6.41,TRUE,8255
"Benin","Africa","Monthly",488.25,549.48,138.58,2449.28,66,46,12,5,12.3,2.23,FALSE,2310.7
"Bhutan","Asia","Monthly",407.26,449.3,113.17,1994.23,22,33,25,18,15.6,2.34,FALSE,1881.06
"Bolivia","South America","Monthly",1131.5,1236.99,312.14,5505.78,22,22,0,0,0,3.5,FALSE,5193.64
"Bosnia and Herzegovina","Europe","Monthly",1151.35,1248.65,313.51,5567.57,19,22,92,92,23.3,18.42,FALSE,5254.06
"Botswana","Africa","Monthly",729.39,860.69,216.63,3822.03,0,0,55,66,24.9,18.19,FALSE,3605.4
"Brazil","South America","Monthly",1490.04,1711.16,432.27,7609.56,14,16,65,75,51.3,12.08,FALSE,7177.29
"Brunei","Asia","Monthly",2110.29,2375,595.59,10588.24,16,19,0,0,31.4,9.12,TRUE,9992.65
"Bulgaria","Europe","Monthly",1605.41,1794.59,454.05,7945.95,14,10,0,0,71,4.34,FALSE,7491.9
"Burkina Faso","Africa","Monthly",485.02,534.97,135.03,2384.83,65,67,6,2,6.5,6.26,FALSE,2249.8
"Burundi","Africa","Monthly",384.78,420.08,105.55,1863.89,62,67,4,3,6.1,1.43,FALSE,1758.34
"Cambodia","Asia","Monthly",745.19,808.3,203.41,3592.44,0,0,20,20,13.7,0.68,FALSE,3389.03
"Cameroon","Africa","Monthly",633.27,744.45,186.92,3303.31,58,50,26,21,12.8,3.38,FALSE,3116.39
"Canada","Northern America","Monthly",6311.03,7352.94,1850,32720.59,6,6,0,0,68.9,5.56,TRUE,30870.59
"Cape Verde","Africa","Monthly",1706.29,1965.11,495.59,8742.33,24,29,0,0,23.6,12.25,TRUE,8246.74
"Central African Republic","Africa","Monthly",621.99,699.33,175.64,3109.94,0,0,8,6,3,3.68,FALSE,2934.3
"Chad","Africa","Monthly",707.39,787.96,198.2,3512.79,85,71,15,6,3.3,1.89,FALSE,3314.59
"Chile","South America","Monthly",1890.4,2090.56,525.98,9274.09,5,5,83,88,88.5,7.09,TRUE,8748.11
"China","Asia","Monthly",3684.93,4027.4,1015.07,17945.21,0,0,63,67,50.6,4.32,TRUE,16930.14
"Colombia","South America","Monthly",995.6,1157.85,292.53,5137.79,20,22,69,78,55.3,9.71,FALSE,4845.26
"Comoros","Africa","Monthly",567.21,651,163.93,2900.48,48,52,24,32,9,4.34,FALSE,2736.55
"Cook Islands","Oceania","Monthly",2538.92,2832.34,712.57,12574.85,27,30,0,0,0,0,TRUE,11862.28
"Costa Rica","Central America","Monthly",4016.06,4427.01,1115.16,19613.34,5,7,56,60,55.2,11.85,TRUE,18498.18
